Rental Price,Address,No of Bed,No of Bathrooms,Area,Pets Allowed,No of Beds
"$5,500","7601 East Treasure Drive, North Bay Village, Miami-Dade County",2.0,1.0,628 Sq Ft,Yes,2.0
"$1,850",456 Elm St,3.0,2.0,778 Sq Ft,No,2.0
"$1,650",789 Oak St,1.0,1.0,"1,944 Sq Ft",Yes,2.0
€719,"Maria Snelplantsoen 1, 1106 WN Amsterdam, Netherlands",2.0,1.0,200 Sq M,,5.0
"€2,290","1015 ND Amsterdam, Netherlands",2.0,4.0,212 Sq M,,4.0
"€4,124","H.J.E. Wenckebachweg 48, 1096 AN Amsterdam, Netherlands",2.0,2.0,"1,184 Sq Ft",,1.0
"€9,001","1059 North Holland, Netherlands",2.0,1.0,20 Sq M,,2.0
"€2,366","Maarten Lutherweg 284, 1185 AX Amstelveen, Netherlands",2.0,2.0,"1,291 Sq Ft",,1.0
"€7,469","Jan van Zutphenstraat 251, 1069 RR Amsterdam, Netherlands",2.0,2.0,117 Sq M,,2.0
"€4,431","1012 North Holland, Netherlands",2.0,1.0,113 Sq M,,2.0
"€1,150","Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",2.0,3.0,592 Sq Ft,,1.0
€869,"Bijlmerdreef 743, 1103 TA Amsterdam, Netherlands",2.0,1.0,646 Sq Ft,,4.0
"€5,880","1018 North Holland, Netherlands",2.0,2.0,96 Sq M,,2.0
€669,"1016 EP Amsterdam, Netherlands",2.0,1.0,92 Sq M,,4.0
"€7,329",,2.0,1.0,119 Sq M,,3.0
"€3,233",,2.0,1.0,22 Sq M,,1.0
"€9,001",,2.0,1.0,"1,184 Sq Ft",,2.0
€623,,2.0,1.0,8 Sq M,,3.0
€768,,2.0,1.0,"1,507 Sq Ft",,3.0
€579,,2.0,1.0,81 Sq M,,5.0
"€1,995",,2.0,1.0,,,2.0
"€4,320",,2.0,3.0,,,3.0
€920,,2.0,1.0,,,4.0
"€15,104",,2.0,1.0,,,2.0
€669,,2.0,1.0,,,3.0
